parking_id,avg_occupancy_rate,p90_peak_occupancy_rate,demand_score,revenue_score,competition_score,strategic_fit_score,feasibility_score,attractiveness_score,acquisition_score,priority_segment,acquisition_rank,expected_monthly_platform_revenue_inr,expected_commission_pct,estimated_onboarding_cost_inr,documentation_readiness,operational_complexity,requires_capex,exclusivity_possible,estimated_setup_days,competitor_count_500m,competitor_count_1km,competitor_distance_proxy_m,aggregator_listed_count_1km,aggregator_penetration_rate,competitor_avg_hourly_rate_inr,nearest_live_network_distance_km,live_network_site_count,live_network_capacity_cars,avg_daily_platform_bookings,avg_daily_gross_revenue_inr,rank_stability_pct,stability_class,top_10_frequency_pct,top_20_frequency_pct,average_rank,best_rank,worst_rank,rank_standard_deviation,positive_reason_flags,constraint_reason_flags,recommendation,avg_daily_bookings,avg_daily_revenue_inr,revenue_per_space_inr,bookings_per_space,revenue_per_occupied_space_inr
46,0.5727487671232877,0.85332,73.34,66.05,53.51,56.8,71.42,64.78,65.78,ACQUIRE_NOW,16,85451.0,22.0,148000.0,4,3,True,True,44,5,5,105.0,0,0.0,30.0,0.7154682163883964,1,119,298.5753424657534,63283.19,10.0,Highly Sensitive,9.09,100.0,15.09,9,17,2.31,HIGH_DEMAND|HIGH_REVENUE|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,298.58,63283.19,218.97,1.0331,382.32
47,0.3890331506849315,0.65282,48.04,27.34,52.34,66.13,30.15,45.9,43.54,AVOID,55,12946.37,10.0,83000.0,2,3,True,True,35,0,6,502.0,0,0.0,55.0,1.1747055993276414,1,119,47.12602739726027,28947.596246575344,0.0,Highly Sensitive,0.0,0.0,55.27,43,65,5.66,NETWORK_GAP,LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,47.13,28947.6,281.04,0.4575,722.42
48,0.5840605479452055,0.85518,79.75,27.6,32.64,47.99,14.78,50.5,45.14,PURSUE,51,10037.36,12.5,83500.0,2,4,True,False,54,5,11,66.0,2,0.18181818181818182,50.0,0.5897903966591667,1,119,35.964383561643835,18686.995698630137,0.0,Highly Sensitive,0.0,0.0,55.0,35,77,10.8,HIGH_DEMAND|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,35.96,18687.0,519.08,0.999,888.75
49,0.5800819178082192,0.86724,78.16,21.54,51.25,53.21,38.74,52.35,50.31,PURSUE,37,9808.51,11.0,99000.0,1,3,True,False,47,5,5,157.0,0,0.0,25.0,0.7388948569999597,1,119,67.73424657534247,19204.337260273973,0.0,Highly Sensitive,0.0,0.0,40.91,31,53,6.39,HIGH_DEMAND|STRONG_METRO_ACCESS|SUSTAINED_UTILIZATION,LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,67.73,19204.34,190.14,0.6706,327.78
50,0.4732846575342466,0.73328,65.44,31.38,61.18,72.51,36.7,55.92,53.04,PURSUE,33,12970.84,13.5,98000.0,3,5,True,True,55,0,5,502.0,0,0.0,55.0,1.419583279446576,1,119,44.87671232876713,18918.582712328767,0.0,Highly Sensitive,0.0,0.0,33.73,29,41,2.93,HIGH_DEMAND|LOW_COMPETITION|NETWORK_GAP|STRONG_METRO_ACCESS|SUSTAINED_UTILIZATION,LOW_OWNER_READINESS|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,44.88,18918.58,370.95,0.8799,783.78
51,0.6188747945205479,0.90452,81.42,45.81,88.87,70.94,87.71,70.41,73.01,ACQUIRE_NOW,6,25313.81,15.0,83000.0,5,2,True,True,29,0,1,601.0,0,0.0,55.0,2.344830114045606,0,0,84.66301369863014,23904.90506849315,90.0,Very Stable,90.91,100.0,6.0,2,15,3.33,HIGH_DEMAND|LOW_COMPETITION|NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,84.66,23904.91,318.73,1.1288,515.02
52,0.6198808219178082,0.89492,81.91,86.48,56.63,82.67,74.73,78.93,78.3,ACQUIRE_NOW,1,181556.39,22.5,82000.0,3,3,False,False,33,0,3,515.0,1,0.3333333333333333,30.0,2.703623013102439,0,0,445.65479452054797,119453.90463013698,100.0,Very Stable,100.0,100.0,1.18,1,2,0.39,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,445.65,119453.9,344.25,1.2843,555.34
53,0.15213068493150686,0.40456000000000003,10.93,34.48,59.95,77.1,76.64,38.18,43.95,DEVELOP,53,20485.99,19.5,87500.0,3,4,False,True,22,2,4,306.0,1,0.25,75.0,4.654980851359576,0,0,46.04383561643836,18668.075342465752,0.0,Highly Sensitive,0.0,0.0,51.09,41,61,6.49,NETWORK_GAP|HIGH_OWNER_READINESS,LOW_DEMAND,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,46.04,18668.08,85.63,0.2112,562.89
54,0.27615616438356166,0.52422,20.16,15.49,55.31,70.51,39.17,33.87,34.67,AVOID,85,6867.74,15.5,103000.0,2,5,True,True,51,2,3,466.0,1,0.3333333333333333,30.0,4.867127454794019,0,0,22.731506849315068,13170.583671232876,0.0,Highly Sensitive,0.0,0.0,83.27,68,90,5.56,NETWORK_GAP,LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,22.73,13170.58,202.62,0.3497,733.73
55,0.6243394520547946,0.9064,81.44,60.94,50.43,77.97,48.19,69.32,66.15,PURSUE,15,66077.76,12.0,146500.0,3,4,True,False,45,0,3,515.0,2,0.6666666666666666,35.0,3.051053550772706,0,0,272.6876712328767,86521.55432876712,0.0,Highly Sensitive,9.09,100.0,14.27,9,20,2.77,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,272.69,86521.55,363.54,1.1457,582.27
56,0.2975898630136986,0.54124,22.51,28.93,54.3,77.19,57.91,39.66,42.4,DEVELOP,59,15594.69,18.5,97000.0,3,2,True,True,34,3,5,306.0,1,0.2,35.0,4.959030162021704,0,0,64.81095890410958,24949.575260273974,0.0,Highly Sensitive,0.0,0.0,56.73,48,60,3.69,NETWORK_GAP,CAPEX_REQUIRED,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,64.81,24949.58,113.41,0.2946,381.09
57,0.2763372602739726,0.5301,16.27,22.02,51.69,40.25,29.01,28.45,28.53,AVOID,110,9808.48,13.0,88500.0,2,4,True,False,49,1,1,80.0,1,1.0,40.0,1.009398990936078,1,99,17.44109589041096,18307.45120547945,0.0,Highly Sensitive,0.0,0.0,109.45,103,114,3.03,,LOW_DEMAND|LOW_STRATEGIC_FIT|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,17.44,18307.45,210.43,0.2005,761.5
58,0.18043780821917807,0.42594,4.45,0.0,67.52,39.07,47.6,20.38,24.46,AVOID,115,471.35,9.0,48000.0,2,4,False,True,37,1,1,80.0,0,0.0,15.0,1.0860578270504082,1,99,2.410958904109589,1731.9216712328766,0.0,Highly Sensitive,0.0,0.0,115.09,112,117,1.68,LOW_COMPETITION,LOW_DEMAND|LOW_REVENUE|LOW_STRATEGIC_FIT|DOCUMENTATION_GAP|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,2.41,1731.92,44.41,0.0618,246.11
59,0.21919945205479452,0.46012000000000003,11.71,25.47,95.5,49.76,45.86,37.26,38.55,AVOID,71,13085.62,16.0,90500.0,3,3,False,False,27,0,0,1500.0,0,0.0,,1.008391363822985,1,99,25.246575342465754,20021.814383561643,0.0,Highly Sensitive,0.0,0.0,70.0,58,77,4.61,LOW_COMPETITION,LOW_DEMAND|DECISION_MAKER_BLOCKED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,25.25,20021.81,91.01,0.1148,415.18
60,0.3487068493150685,0.59944,24.53,16.84,54.53,55.46,36.47,33.02,33.54,AVOID,92,7754.93,15.5,83500.0,3,3,True,False,35,2,2,309.0,0,0.0,25.0,2.1859224126721903,1,99,13.263013698630138,15825.004301369863,0.0,Highly Sensitive,0.0,0.0,92.18,86,99,3.83,,LOW_REVENUE|LOW_OWNER_READINESS|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,13.26,15825.0,163.14,0.1367,467.86
61,0.2510367123287671,0.49022,10.59,23.97,55.4,59.77,64.45,31.11,36.11,AVOID,78,11706.76,16.0,82000.0,5,3,False,True,18,2,2,420.0,0,0.0,15.0,1.9416788644183056,1,99,27.002739726027396,18833.89893150685,0.0,Highly Sensitive,0.0,0.0,77.09,69,89,5.23,,LOW_DEMAND|DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,27.0,18833.9,119.96,0.172,477.86
62,0.20054,0.4762,17.42,20.71,29.52,38.35,50.29,24.22,28.13,AVOID,111,9282.24,14.0,51000.0,2,2,False,False,21,4,10,91.0,1,0.1,60.0,0.8760870404736335,1,151,7.0,19005.3098630137,0.0,Highly Sensitive,0.0,0.0,110.0,108,113,1.35,,LOW_REVENUE|HIGH_COMPETITION|LOW_STRATEGIC_FIT|DOCUMENTATION_GAP|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,7.0,19005.31,208.85,0.0769,1041.44
63,0.26192301369863014,0.54994,23.6,44.61,31.88,41.34,56.6,34.37,37.71,AVOID,74,32924.78,13.5,63500.0,3,3,False,True,20,4,10,91.0,1,0.1,80.0,0.8747181553592274,1,151,23.97808219178082,55018.78326027397,0.0,Highly Sensitive,0.0,0.0,74.73,68,85,4.02,,LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,23.98,55018.78,250.09,0.109,954.8
64,0.2427427397260274,0.5102599999999999,21.07,20.23,28.01,31.74,46.05,23.93,27.25,AVOID,113,9469.78,13.0,67000.0,3,2,False,False,18,4,12,117.0,0,0.0,50.0,0.6245574979195818,1,151,10.167123287671233,20055.764273972603,0.0,Highly Sensitive,0.0,0.0,113.09,111,116,1.31,,LOW_REVENUE|HIGH_COMPETITION|LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,10.17,20055.76,159.17,0.0807,655.73
65,0.25670904109589043,0.5337000000000001,22.75,40.16,29.19,31.96,71.33,30.63,36.74,AVOID,77,27383.22,15.0,89000.0,5,4,False,True,44,4,11,117.0,1,0.09090909090909091,40.0,0.5365118818240086,1,151,33.945205479452056,32706.21789041096,0.0,Highly Sensitive,0.0,0.0,79.18,74,90,5.25,HIGH_OWNER_READINESS,HIGH_COMPETITION|LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,33.95,32706.22,132.95,0.138,517.91
66,0.2692876712328767,0.5541400000000001,23.88,26.42,42.86,45.93,59.78,31.86,36.05,AVOID,79,13139.48,15.0,86000.0,4,2,True,True,28,3,6,263.0,1,0.16666666666666666,35.0,1.0856289259141023,1,151,18.194520547945206,21477.79879452055,0.0,Highly Sensitive,0.0,0.0,79.45,78,83,1.3,,DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,18.19,21477.8,143.19,0.1213,531.72
67,0.2799205479452055,0.55718,24.22,49.83,31.65,26.9,82.33,33.53,40.85,DEVELOP,65,43629.21,18.0,88500.0,3,3,False,True,35,4,12,203.0,0,0.0,45.0,0.34288297756774866,1,151,45.172602739726024,43775.733232876715,0.0,Highly Sensitive,0.0,0.0,64.45,56,74,4.7,HIGH_OWNER_READINESS,HIGH_COMPETITION|LOW_STRATEGIC_FIT|NETWORK_CANNIBALIZATION_RISK,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,45.17,43775.73,157.47,0.1625,562.54
68,0.26414164383561645,0.53978,19.64,65.16,31.64,32.15,87.26,37.35,44.84,DEVELOP,52,89145.19,21.0,104500.0,5,2,False,True,22,5,12,183.0,1,0.08333333333333333,50.0,0.44629502291637724,1,151,78.96164383561644,83084.04419178082,0.0,Highly Sensitive,0.0,0.0,52.0,43,62,5.01,HIGH_REVENUE|HIGH_OWNER_READINESS,HIGH_COMPETITION|LOW_STRATEGIC_FIT,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,78.96,83084.04,226.39,0.2152,857.07
69,0.24965315068493152,0.53132,16.79,30.36,35.25,31.81,60.13,26.69,31.71,AVOID,99,14057.79,18.0,87000.0,4,2,True,True,32,4,11,219.0,2,0.18181818181818182,95.0,0.6637072091531805,1,151,10.043835616438356,16062.698301369863,0.0,Highly Sensitive,0.0,0.0,99.55,93,105,3.77,,LOW_DEMAND|LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,10.04,16062.7,200.78,0.1255,804.25
70,0.2144123287671233,0.47790000000000005,17.85,0.0,59.29,56.14,47.43,26.67,29.78,AVOID,105,2519.08,11.5,70000.0,3,2,True,False,30,1,4,494.0,0,0.0,40.0,1.5796498880929004,1,151,4.501369863013698,6698.774438356164,0.0,Highly Sensitive,0.0,0.0,103.45,96,113,4.98,,LOW_REVENUE|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,4.5,6698.77,113.54,0.0763,529.53
71,0.13643095890410958,0.38882,8.68,34.53,28.75,43.6,45.73,25.99,28.95,AVOID,107,21798.88,15.0,127000.0,2,4,True,True,43,3,9,178.0,2,0.2222222222222222,25.0,0.8379425354088269,1,151,23.86849315068493,41850.45654794521,0.0,Highly Sensitive,0.0,0.0,106.91,96,112,4.21,,LOW_DEMAND|HIGH_COMPETITION|LOW_STRATEGIC_FIT|HIGH_ONBOARDING_COST|DOCUMENTATION_GAP|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,23.87,41850.46,115.61,0.0659,847.38
72,0.3113213698630137,0.5767599999999999,27.19,55.36,46.01,61.9,56.28,44.92,46.63,AVOID,46,57931.74,12.5,141000.0,3,2,True,False,31,0,5,526.0,1,0.2,45.0,3.382203262077104,0,0,152.0246575342466,93292.70482191781,0.0,Highly Sensitive,0.0,0.0,45.73,40,52,2.77,HIGH_REVENUE,HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,152.02,93292.7,279.32,0.4552,897.21
73,0.2758772602739726,0.52752,18.85,23.16,35.85,56.28,61.18,29.72,34.44,AVOID,87,10999.39,12.0,45000.0,4,2,False,False,17,0,7,526.0,1,0.14285714285714285,25.0,3.2821861511582107,0,0,33.58904109589041,20624.537753424658,0.0,Highly Sensitive,0.0,0.0,85.45,77,92,4.12,,DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,33.59,20624.54,157.44,0.2564,570.69
74,0.18050712328767124,0.44106,9.05,36.57,44.25,63.34,76.19,32.94,39.43,DEVELOP,68,24346.57,19.5,185000.0,4,3,True,True,37,0,6,544.0,0,0.0,20.0,2.979256869321902,0,0,83.14246575342466,23917.41884931507,0.0,Highly Sensitive,0.0,0.0,65.0,55,77,6.25,NETWORK_GAP|HIGH_OWNER_READINESS,LOW_DEMAND|HIGH_ONBOARDING_COST|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,83.14,23917.42,61.96,0.2154,343.27
75,0.20697013698630137,0.45862,10.19,60.51,58.56,66.22,74.07,43.41,48.01,DEVELOP,42,79142.91,18.5,161500.0,3,2,True,True,28,1,4,210.0,0,0.0,90.0,2.743459415925531,0,0,109.2027397260274,89683.63832876712,0.0,Highly Sensitive,0.0,0.0,40.18,34,52,4.88,HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS,LOW_DEMAND|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,109.2,89683.64,183.03,0.2229,884.32
76,0.2722221917808219,0.51318,17.08,0.0,41.73,54.34,16.63,22.98,22.03,AVOID,118,1661.69,10.5,49500.0,1,4,False,False,34,1,5,210.0,1,0.2,25.0,2.5337485238691078,0,0,8.69041095890411,5775.432657534247,0.0,Highly Sensitive,0.0,0.0,117.64,115,119,1.15,,LOW_DEMAND|LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,8.69,5775.43,94.68,0.1425,347.8
77,0.27772438356164386,0.5265,22.13,24.78,43.63,56.42,43.47,32.75,34.36,AVOID,89,11969.85,12.5,99500.0,3,3,True,False,40,1,6,315.0,0,0.0,45.0,3.631114283624465,0,0,31.48767123287671,29593.938109589042,0.0,Highly Sensitive,0.0,0.0,87.45,79,93,3.87,,CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,31.49,29593.94,217.6,0.2315,783.52
78,0.3140813698630137,0.55838,25.82,11.68,45.67,54.26,25.57,30.18,29.49,AVOID,106,5624.04,8.5,97000.0,2,5,True,False,61,2,5,296.0,0,0.0,35.0,3.6669921727838735,0,0,24.361643835616437,13738.459424657534,0.0,Highly Sensitive,0.0,0.0,105.73,96,112,4.07,,LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,24.36,13738.46,236.87,0.42,754.17
79,0.271087397260274,0.51978,18.1,1.07,76.46,54.15,35.19,29.75,30.57,AVOID,104,2078.17,11.5,69000.0,1,2,True,True,23,0,2,809.0,0,0.0,35.0,2.6891059305242977,0,0,9.95068493150685,4196.969506849315,0.0,Highly Sensitive,0.0,0.0,101.91,94,108,4.34,LOW_COMPETITION,LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,9.95,4196.97,155.44,0.3685,573.41
80,0.3922654794520548,0.64,34.24,32.13,56.37,55.81,43.26,41.33,41.62,AVOID,61,16427.0,14.5,81500.0,3,2,True,True,39,1,2,77.0,1,0.5,35.0,2.727430216733498,0,0,52.797260273972604,30453.60523287671,0.0,Highly Sensitive,0.0,0.0,61.36,54,66,3.28,,LOW_OWNER_READINESS|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,52.8,30453.61,267.14,0.4631,681.01
81,0.275027397260274,0.52154,18.62,10.59,37.61,54.73,57.27,25.98,30.67,AVOID,103,5509.03,13.5,88000.0,3,3,True,True,26,1,6,296.0,1,0.16666666666666666,30.0,3.497731805802172,0,0,16.986301369863014,8895.019452054794,0.0,Highly Sensitive,0.0,0.0,101.45,94,107,3.31,,LOW_REVENUE|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,16.99,8895.02,118.6,0.2265,431.23
82,0.30702383561643837,0.5648,25.31,0.43,90.31,56.62,35.42,34.99,35.05,AVOID,82,3219.04,10.5,50500.0,2,3,False,False,35,0,1,831.0,0,0.0,55.0,2.912679295549218,0,0,11.235616438356164,9870.765424657535,0.0,Highly Sensitive,0.0,0.0,82.0,71,97,6.73,LOW_COMPETITION,LOW_REVENUE|LOW_OWNER_READINESS|DOCUMENTATION_GAP,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,11.24,9870.77,161.82,0.1842,527.05
83,0.3265668493150685,0.5989,30.52,70.58,66.6,64.71,57.57,54.7,55.13,ACQUIRE_NOW,30,94153.26,21.5,140000.0,5,4,True,False,62,0,1,831.0,1,1.0,70.0,2.1162891975567115,0,0,103.06301369863014,80126.26071232876,0.0,Highly Sensitive,0.0,0.0,29.55,25,34,2.27,HIGH_REVENUE|LOW_COMPETITION|NETWORK_GAP|CAPACITY_EFFICIENT_REVENUE,HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,103.06,80126.26,328.39,0.4224,1005.57
84,0.20340657534246576,0.45618000000000003,9.92,53.24,85.93,70.42,46.58,46.75,46.72,PURSUE,45,59277.14,17.0,270000.0,3,3,True,True,43,0,1,930.0,0,0.0,45.0,4.724804797355503,0,0,114.9972602739726,80325.66290410959,0.0,Highly Sensitive,0.0,0.0,44.73,36,51,4.43,LOW_COMPETITION|NETWORK_GAP,LOW_DEMAND|HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,115.0,80325.66,124.92,0.1788,614.16
85,0.37084465753424656,0.64902,35.05,45.88,92.59,59.1,86.6,52.63,57.73,ACQUIRE_NOW,27,29519.0,18.5,58500.0,4,2,False,False,11,0,1,930.0,0,0.0,65.0,5.0175378337374505,0,0,52.44931506849315,27895.034410958902,0.0,Highly Sensitive,0.0,18.18,25.64,12,32,5.4,LOW_COMPETITION|HIGH_OWNER_READINESS,,Prioritise for named-owner outreach and commercial diligence.,52.45,27895.03,238.42,0.4483,642.91
86,0.36218465753424656,0.63986,29.8,36.19,67.02,56.97,77.38,43.04,48.19,DEVELOP,41,17176.44,14.5,46000.0,4,2,False,False,17,0,2,908.0,1,0.5,70.0,2.139067464533967,0,0,27.46027397260274,23649.242301369864,0.0,Highly Sensitive,0.0,0.0,40.91,34,48,3.6,LOW_COMPETITION|HIGH_OWNER_READINESS,,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,27.46,23649.24,342.74,0.398,946.32
87,0.251547397260274,0.51364,17.8,44.63,45.32,30.74,60.65,32.83,37.0,AVOID,75,37595.81,15.0,225500.0,4,4,True,True,40,3,8,201.0,0,0.0,50.0,0.4697160016285701,1,191,53.07397260273972,57329.878219178085,0.0,Highly Sensitive,0.0,0.0,77.73,71,91,5.28,,LOW_STRATEGIC_FIT|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,53.07,57329.88,113.75,0.1053,452.2
88,0.21441260273972604,0.48254,15.57,33.68,32.82,15.18,49.89,23.87,27.77,AVOID,112,20457.49,17.5,134500.0,3,2,True,False,28,4,10,87.0,1,0.1,40.0,0.09734908937901376,1,191,24.224657534246575,30583.851698630137,0.0,Highly Sensitive,0.0,0.0,111.73,102,118,3.69,,LOW_DEMAND|LOW_STRATEGIC_FIT|HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED|NETWORK_CANNIBALIZATION_RISK,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,24.22,30583.85,103.32,0.0818,481.89
89,0.21086328767123289,0.47908,16.89,13.87,22.31,12.49,42.3,16.18,20.1,AVOID,120,6700.63,11.0,49500.0,4,3,False,True,32,5,12,87.0,4,0.3333333333333333,50.0,0.13355765191139227,1,191,9.35890410958904,13451.69797260274,0.0,Highly Sensitive,0.0,0.0,119.73,119,120,0.45,,LOW_DEMAND|LOW_REVENUE|HIGH_COMPETITION|LOW_STRATEGIC_FIT|LOW_OWNER_READINESS|DECISION_MAKER_BLOCKED|NETWORK_CANNIBALIZATION_RISK,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,9.36,13451.7,135.88,0.0945,644.38
90,0.3083586301369863,0.59976,25.53,53.75,49.56,34.58,62.17,39.67,43.04,DEVELOP,56,55968.3,20.5,167500.0,4,4,True,False,52,1,5,201.0,0,0.0,35.0,0.6706025480103233,1,191,57.50410958904109,69859.27410958904,0.0,Highly Sensitive,0.0,0.0,57.18,51,66,3.61,,LOW_STRATEGIC_FIT|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,57.5,69859.27,176.41,0.1452,572.1
91,0.11392849315068493,0.35378,9.34,0.09,33.12,20.37,66.3,12.76,20.79,AVOID,119,3215.42,14.0,40000.0,4,2,False,False,14,5,12,183.0,2,0.16666666666666666,65.0,0.3883043416420064,1,191,3.4931506849315066,5902.698109589041,0.0,Highly Sensitive,0.0,0.0,118.91,117,120,1.0,,LOW_DEMAND|LOW_REVENUE|LOW_STRATEGIC_FIT|NETWORK_CANNIBALIZATION_RISK,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,3.49,5902.7,62.13,0.0368,545.37
92,0.21533506849315068,0.48766,11.54,5.34,56.08,39.45,34.96,22.5,24.37,AVOID,116,4211.08,10.0,49500.0,2,3,False,True,24,1,3,95.0,0,0.0,25.0,1.045289484693252,1,191,7.0849315068493155,13432.790082191781,0.0,Highly Sensitive,0.0,0.0,115.45,114,117,0.99,,LOW_DEMAND|LOW_REVENUE|LOW_STRATEGIC_FIT|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,7.08,13432.79,184.01,0.0971,854.53
93,0.22272465753424658,0.49486,12.25,29.51,54.41,41.91,81.76,30.0,37.77,AVOID,73,15234.74,18.0,88000.0,5,2,True,True,35,1,3,95.0,1,0.3333333333333333,45.0,1.0818084655018674,1,191,15.684931506849315,17870.58131506849,0.0,Highly Sensitive,0.0,0.0,73.27,62,85,5.51,HIGH_OWNER_READINESS,LOW_DEMAND|LOW_STRATEGIC_FIT|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,15.68,17870.58,120.75,0.106,542.14
94,0.1526082191780822,0.41656,7.24,18.94,53.41,53.56,54.82,27.0,31.18,AVOID,101,8755.92,18.5,85000.0,4,3,True,False,36,0,6,740.0,1,0.16666666666666666,55.0,1.691707584924571,1,191,8.778082191780822,10281.51394520548,0.0,Highly Sensitive,0.0,0.0,99.64,94,106,3.17,,LOW_DEMAND|LOW_REVENUE|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,8.78,10281.51,91.8,0.0784,601.54
